Date,NY Total Cases,NY Actual Cases,NY Total Deaths,NY Actual Deaths,NYC Total Cases,NYC Actual Cases,NYC Total Deaths,NYC Actual Deaths,Total NY Total Cases,Total NY Actual Cases,Total NY Total Deaths,Total NY Actual Deaths,CA Total Cases,CA Actual Cases,CA Total Deaths,CA Actual Deaths,US Actual Cases,US Actual Deaths
Break 0: 1/22/20-4/22/20,114784,114784,4260,4260,138435,138435,14996,14996,253219,253219,19256,19256,35396,35396,1354,1354,826230,46307
4/29/20,134850,20066,5170,910,159865,21430,17589,2593,294715,41496,22759,3503,46500,11104,1887,533,202201,13653
5/6/20,145627,10777,6482,1312,173288,13423,19297,1708,318915,24200,25779,3020,58815,12315,2412,525,184825,13098
5/13/20,153411,7784,7132,650,185206,11918,20316,1019,338617,19702,27448,1669,71141,12326,2934,522,167262,10761
5/20/20,159820,6409,7606,474,197611,12405,21003,687,357431,18814,28609,1161,84057,12916,3436,502,165691,9104
5/27/20,164997,5177,7977,371,202997,5386,21415,412,367994,10563,29392,783,98980,14923,3884,448,147249,7381
6/3/20,169213,4216,8230,253,201806,201806,21688,273,371019,206022,29918,526,117687,18707,4361,477,346706,6572
6/10/20,172038,2825,8416,186,210098,8292,21993,305,382136,11117,30409,491,136191,18504,4776,415,150967,5934
6/17/20,174201,2163,8551,135,212789,2691,22199,206,386990,4854,30750,341,157015,20824,5208,432,161430,4662
6/24/20,176318,2117,8636,85,215192,2403,22384,185,391510,4520,31020,270,190222,33207,5632,424,218524,4173
7/1/20,178604,2286,8687,51,217378,2186,23123,739,395982,4472,31810,790,232657,42435,6090,458,304796,6213
7/8/20,181152,2548,8721,34,219567,2189,23247,124,400719,4737,31968,158,289468,56811,6562,472,367612,4026
7/15/20,184024,2872,8762,41,221852,2285,23371,124,405876,5157,32133,165,347634,58166,7227,665,435535,4869
7/22/20,186442,2418,8800,38,224118,2266,23463,92,410560,4684,32263,130,413576,65942,7870,643,467383,5800
Break 1: 7/23/20-8/18/20,195829,9387,8910,110,232068,7950,23643,180,427897,17337,32553,290,632667,219091,11342,3472,1500182,28087
8/25/20,198209,2380,8935,25,233711,1643,23669,26,431920,4023,32604,51,673095,40428,12257,915,291340,6692
9/1/20,200968,2759,8954,19,235514,1803,23708,39,436482,4562,32662,58,707797,34702,13018,761,294061,22231
9/8/20,204144,3176,8974,20,237070,1556,23741,33,441214,4732,32715,53,737911,30114,13758,740,263075,4998
9/15/20,207341,3197,9003,29,239547,2477,23762,21,446888,5674,32765,50,760013,22102,14451,693,260325,5826
9/22/20,210420,3079,9016,13,241858,2311,23780,18,452278,5390,32796,31,784324,24311,15071,620,300788,5166
9/29/20,214054,3634,9036,20,244757,2899,23823,43,458811,6533,32859,63,807425,23101,15640,569,284926,5222
10/6/20,219456,5402,9077,41,248885,4128,23873,50,468341,9530,32950,91,828461,21036,16177,537,306606,20925
10/13/20,225406,5950,9117,40,252613,3728,23905,32,478019,9678,33022,72,852406,23945,16581,404,358375,4919
10/20/20,231273,5867,9164,47,257028,4415,23949,44,488301,10282,33113,91,874077,21671,16992,411,413906,5128
10/27/20,238936,7663,9226,62,262840,5812,23980,31,501776,13475,33206,93,904198,30121,17400,408,502950,7350
11/3/20,248091,9155,9290,64,268924,6084,24034,54,517015,15239,33324,118,934672,30474,17686,286,674993,5961
11/10/20,262562,14471,9399,109,277249,8325,24096,62,539811,22796,33495,171,977218,42546,18001,315,860455,7539
11/17/20,283503,20941,9544,145,289018,11769,24149,53,572521,32710,33693,198,1037978,60760,18299,298,1106417,8173
11/24/20,308726,25223,9747,203,305973,16955,24230,81,614699,42178,33977,284,1125699,87721,18769,470,1209118,11079
12/1/20,340717,31991,10061,314,324128,18155,24297,67,664845,50146,34358,381,1225189,99490,19211,442,1136858,10657
12/8/20,385232,44515,10440,379,348211,24083,24411,114,733443,68598,34851,493,1389707,164518,20047,836,1433030,15512
12/15/20,432330,47098,11004,564,371489,23278,24578,167,803819,70376,35582,731,1617370,227663,21188,1141,1494872,20509
12/22/20,479498,47168,11679,675,397066,25577,24790,212,876564,72745,36469,887,1925007,307637,22923,1735,1499779,18644
Break 2: 12/23/20-1/5/21,592518,113020,13163,1484,462668,65602,25363,573,1055186,178622,38526,2057,2452334,527327,27003,4080,2787226,34106
1/12/21,665919,73401,14050,887,506377,43709,25742,379,1172296,117110,39792,1266,2747288,294954,30513,3510,1723061,23160
1/19/21,727080,61161,14937,887,548160,41783,26249,507,1275240,102944,41186,1394,2996968,249680,33739,3226,1391479,20989
