Date,Total US Deaths,CA Deaths,NY Deaths,Total US Cases,CA Cases,NY Cases
Break 0: 1/22/20-4/22/20,616979,16638,292382,13180275,551275,4613818
4/29/20,403663,12157,160289,6810004,306726,2034333
5/6/20,497416,15676,178783,8151923,385362,2236786
5/13/20,580102,19166,193343,9358238,473227,2368695
5/20/20,650134,22815,203720,10468322,561755,2466093
5/27/20,706525,26218,210798,11548818,662003,2549341
6/3/20,754553,29282,215114,12570063,783619,2614075
6/10/20,796015,32468,218584,13585497,917452,2664522
6/17/20,831193,35672,221123,14638406,1069966,2699594
6/24/20,861221,38707,222962,15971727,1264161,2731065
7/1/20,888703,41739,224433,17843631,1527880,2763129
7/8/20,916260,45019,225602,20238165,1862247,2796828
7/15/20,952447,49606,226766,23136736,2291126,2831804
7/22/20,991807,54214,227602,26390387,2734077,2869729
Break 1: 7/23/20-8/18/20,4296523,265258,883410,129712254,14437261,11370617
8/25/20,1234260,84347,229933,39573294,4648749,3019722
9/1/20,1278882,90017,230387,41621059,4912291,3050186
9/8/20,1319195,95469,230922,43598324,5137440,3085811
9/15/20,1356054,100028,231171,45346337,5307155,3121209
9/22/20,1395016,104667,231787,47359062,5478491,3160606
9/29/20,1432278,108804,233007,49473469,5645318,3202404
10/6/20,1467250,112589,233603,51572831,5803276,3261847
10/13/20,1502281,115618,234218,53964063,5963097,3332508
10/20/20,1537818,118443,234820,56725541,6117302,3401524
10/27/20,1577308,121275,235420,60039302,6314708,3482823
11/3/20,1618258,123489,236111,64132934,6527260,3580316
11/10/20,1666536,125678,237171,69669049,6793676,3711773
11/17/20,1719890,127658,238181,76808415,7174271,3925767
11/24/20,1790628,130786,239982,85181742,7743153,4182330
12/1/20,1864695,133929,241746,93342545,8428785,4496755
12/8/20,1964500,138990,244612,102704832,9400472,4921573
12/15/20,2080870,146632,248636,113189024,10870411,5414225
12/22/20,2209712,158019,254248,123828532,12909843,5924136
Break 2: 12/23/20-1/5/21,4774845,355136,529002,276447685,31523121,13503305
1/12/21,2599783,207103,276269,155003002,18688888,7816836
1/19/21,2759971,232037,285604,165970808,20669840,8581732
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
