,Reporting Date,Start Period,End Period,United States,Female,Male,California,New York,18 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and above
0,2020-04-29,2020-04-23,2020-05-05,35.9,40.7,31.0,37.4,41.4,46.8,39.6,38.9,35.8,28.9,21.5,21.1
1,2020-05-06,2020-04-23,2020-05-05,35.9,40.7,31.0,37.4,41.4,46.8,39.6,38.9,35.8,28.9,21.5,21.1
2,2020-05-13,2020-05-07,2020-05-12,34.4,37.2,31.4,34.4,36.9,47.4,39.3,36.9,35.5,25.5,19.8,13.9
3,2020-05-20,2020-05-14,2020-05-19,33.9,37.6,29.9,38.8,34.9,47.7,37.8,35.3,33.7,26.4,18.3,17.1
4,2020-05-27,2020-05-21,2020-05-26,34.3,38.1,30.3,36.2,34.4,46.6,39.5,35.7,33.7,27.4,18.8,20.1
5,2020-06-03,2020-05-28,2020-06-02,35.5,39.6,31.1,38.6,34.8,49.3,40.6,36.9,33.6,27.0,21.7,19.2
6,2020-06-10,2020-06-04,2020-06-09,36.1,40.0,31.9,39.7,38.6,49.3,41.5,39.0,36.0,27.4,19.0,18.6
7,2020-06-17,2020-06-11,2020-06-16,36.0,39.1,32.7,37.9,32.9,48.7,40.3,38.4,35.8,27.7,21.7,17.6
8,2020-06-24,2020-06-18,2020-06-23,36.1,39.6,32.4,39.1,32.9,50.0,40.8,38.5,36.3,27.4,19.3,14.6
9,2020-07-01,2020-06-25,2020-06-30,37.8,41.5,33.8,38.1,34.3,49.4,44.1,39.7,37.4,29.1,23.4,20.5
10,2020-07-08,2020-07-02,2020-07-07,39.0,41.3,36.5,39.4,39.7,50.4,45.9,40.0,38.3,30.8,24.5,25.6
11,2020-07-15,2020-07-09,2020-07-14,40.3,44.2,36.1,44.5,38.3,55.0,46.8,41.6,39.8,31.8,21.4,18.9
12,2020-07-22,2020-07-16,2020-07-21,40.9,44.6,37.0,44.1,41.1,53.4,47.1,44.5,40.0,32.1,24.3,17.5
13,2020-08-19,2020-08-19,2020-08-31,36.4,40.7,31.8,38.0,34.4,49.0,42.5,37.6,34.9,29.3,23.2,19.4
14,2020-08-26,2020-08-19,2020-08-31,36.4,40.7,31.8,38.0,34.4,49.0,42.5,37.6,34.9,29.3,23.2,19.4
15,2020-09-02,2020-09-02,2020-09-14,36.2,39.9,32.1,39.1,37.7,47.3,41.8,38.2,35.0,29.3,23.1,22.3
16,2020-09-09,2020-09-02,2020-09-14,36.2,39.9,32.1,39.1,37.7,47.3,41.8,38.2,35.0,29.3,23.1,22.3
17,2020-09-16,2020-09-16,2020-09-28,37.2,41.4,32.7,42.3,36.2,49.9,43.0,39.0,35.6,30.7,23.5,19.1
18,2020-09-23,2020-09-16,2020-09-28,37.2,41.4,32.7,42.3,36.2,49.9,43.0,39.0,35.6,30.7,23.5,19.1
19,2020-09-30,2020-09-30,2020-10-12,37.5,41.6,33.1,42.4,35.2,52.8,43.2,39.9,34.8,29.5,22.8,17.9
20,2020-10-07,2020-09-30,2020-10-12,37.5,41.6,33.1,42.4,35.2,52.8,43.2,39.9,34.8,29.5,22.8,17.9
21,2020-10-14,2020-10-14,2020-10-26,37.8,42.4,32.9,39.9,38.9,52.1,44.9,39.7,34.8,30.7,23.1,19.3
22,2020-10-21,2020-10-14,2020-10-26,37.8,42.4,32.9,39.9,38.9,52.1,44.9,39.7,34.8,30.7,23.1,19.3
23,2020-10-28,2020-10-28,2020-11-09,41.4,46.2,36.1,43.7,36.5,58.7,49.5,42.6,38.6,32.9,26.6,18.4
24,2020-11-04,2020-10-28,2020-11-09,41.4,46.2,36.1,43.7,36.5,58.7,49.5,42.6,38.6,32.9,26.6,18.4
25,2020-11-11,2020-11-11,2020-11-23,42.6,47.6,37.2,45.1,41.7,58.1,48.4,45.6,40.2,34.2,28.6,24.1
26,2020-11-18,2020-11-11,2020-11-23,42.6,47.6,37.2,45.1,41.7,58.1,48.4,45.6,40.2,34.2,28.6,24.1
27,2020-11-25,2020-11-25,2020-12-07,41.4,45.7,36.8,43.2,38.9,56.5,47.6,45.3,40.0,32.3,26.4,19.4
28,2020-12-02,2020-11-25,2020-12-07,41.4,45.7,36.8,43.2,38.9,56.5,47.6,45.3,40.0,32.3,26.4,19.4
29,2020-12-09,2020-12-09,2020-12-21,42.4,46.5,37.9,45.0,40.7,56.2,49.1,45.1,41.1,33.6,27.1,28.3
30,2020-12-16,2020-12-09,2020-12-21,42.4,46.5,37.9,45.0,40.7,56.2,49.1,45.1,41.1,33.6,27.1,28.3
31,2021-01-06,2021-01-06,2021-01-18,41.1,45.4,36.4,45.4,40.2,53.2,45.5,43.0,40.4,33.1,28.4,26.6
32,2021-01-13,2021-01-06,2021-01-18,41.1,45.4,36.4,45.4,40.2,53.2,45.5,43.0,40.4,33.1,28.4,26.6
